latitude, longitude, hora, velocidade
17.234, -93.838, 2022-09-06 10:49:25.941240, 27507.124738853265
16.7165, -93.4208, 2022-09-06 10:49:36.410884, 27687.18975059923
16.1978, -93.006, 2022-09-06 10:49:46.911871, 27613.40675619854
15.6784, -92.5938, 2022-09-06 10:49:57.380273, 27685.53855041976
15.1578, -92.1838, 2022-09-06 10:50:07.825103, 27760.024261369937
14.6364, -91.776, 2022-09-06 10:50:18.298238, 27682.566386685856
14.1142, -91.3705, 2022-09-06 10:50:28.822025, 27543.52738101302
13.591, -90.9669, 2022-09-06 10:50:39.306583, 27656.48070233019
13.0671, -90.5653, 2022-09-06 10:50:49.802080, 27624.03851268281
12.5675, -90.1847, 2022-09-06 10:51:00.267226, 26380.187321530964
12.0421, -89.7867, 2022-09-06 10:51:10.739436, 27687.844707657772
11.5161, -89.3905, 2022-09-06 10:51:21.231782, 27629.985079902723
10.9894, -88.996, 2022-09-06 10:51:31.720705, 27639.26362235133
10.4622, -88.6031, 2022-09-06 10:51:42.236624, 27563.353298947583
9.9343, -88.2116, 2022-09-06 10:51:52.739198, 27604.272619854768
9.4059, -87.8216, 2022-09-06 10:52:03.227358, 27637.975517955954
8.8769, -87.4328, 2022-09-06 10:52:13.730612, 27603.94595507259
8.3475, -87.0454, 2022-09-06 10:52:24.242634, 27574.038133378148
7.8176, -86.6591, 2022-09-06 10:52:34.746877, 27597.49425648198
7.2873, -86.2739, 2022-09-06 10:52:45.251581, 27595.061631001125
6.7565, -85.8897, 2022-09-06 10:52:55.750993, 27612.797293025877
6.2254, -85.5065, 2022-09-06 10:53:06.278477, 27535.31746618804
5.6939, -85.1241, 2022-09-06 10:53:16.731796, 27734.337358146593
5.1622, -84.7425, 2022-09-06 10:53:27.220810, 27635.90397240476
4.6302, -84.3617, 2022-09-06 10:53:37.698600, 27664.079091795036
4.0981, -83.9816, 2022-09-06 10:53:48.157770, 27706.627713053553
3.5656, -83.602, 2022-09-06 10:53:58.621304, 27702.827239984414
3.033, -83.2229, 2022-09-06 10:54:09.106457, 27642.29830070132
2.5257, -82.8623, 2022-09-06 10:54:19.573129, 26367.915072241118
1.9927, -82.4839, 2022-09-06 10:54:30.057305, 27649.714767210495
1.4597, -82.1059, 2022-09-06 10:54:40.568667, 27571.431071543102
0.9267, -81.728, 2022-09-06 10:54:51.055051, 27636.850297764413
0.3936, -81.3503, 2022-09-06 10:55:01.528259, 27671.570050099963
-0.1397, -80.9726, 2022-09-06 10:55:12.047693, 27557.442292857184
-0.6728, -80.5949, 2022-09-06 10:55:22.532122, 27642.335416995506
-1.2059, -80.2171, 2022-09-06 10:55:33.020359, 27633.73500793977
-1.7388, -79.8393, 2022-09-06 10:55:43.509131, 27623.615662913122
-2.2716, -79.4612, 2022-09-06 10:55:54.010102, 27592.79942026323
-2.8044, -79.0827, 2022-09-06 10:56:04.580187, 27418.699465043243
-3.337, -78.7039, 2022-09-06 10:56:15.065127, 27637.578920162414
-3.8693, -78.3246, 2022-09-06 10:56:25.539303, 27662.840347264824
-4.4015, -77.9449, 2022-09-06 10:56:36.014067, 27661.793504827903
-4.9334, -77.5645, 2022-09-06 10:56:46.541177, 27524.388350329005
-5.617, -77.0743, 2022-09-06 10:56:59.792220, 28119.321324919136
